tweet,label
menurut kamu relationship goals itu yang kayak bagaimana sih tbh iya yang bagaimana iya yang selalu saling each other saja saling cinta saling sayang saling kompromi ngehargai saling butuh saling paham saling ngelindungin dan saling saling yang lainnya,love
puisimalam apapun alasannya hanya tuhan yang tahu semoga kelak akan menerima balasan atas perbuatan nya masing kita hanya bisa mendoakan supaya tidak terjadi lagi amin ttd admin sore,happy
untuk pengalaman kemarin hari jiwa dan raga sedang tidak seirama rungsing pada awalnya curhat dengan kawan dan akhirnya saya berkontlemplasi sendiri hasilnya ternyata allah itu baik sekali iya kasih kepercayaan kepada saya mengatasi persoalan hidup yang sebegitu kompleksnya,happy
bisa tidak sih situ sekali saja mikir sendiri kalau mau mengerjakan tugas tidak perlu sok bertanya lihat dong punyamu buat acuan saja saya mau mengerjakan ini nanti tapi bingung tolong iya karena situ sudah keseringan mirip begitu jadi ku pasti tahu dari awal itu hanya alibi,anger
alhamdulillah listrik nyala kembali saya warga sedang takziah di kediaman almarhum warga yang wafat terima kasih cc,happy
ini kayak saya kapan hari itu seharian mantengin asian food channel ngliatin makan sodap e  sendirinya makan indomie sama ngemil kerupuk gegara malas keluar kos,sadness
ketika lihat presiden sendiri saya merasa mirip wow cepat iya sudah mau pilpres lagi padahal kayaknya doi baru kepilih ketika lihat presiden us saya merasa mirip the world is running at a snail pace baru tahu doi ngejabat like what the fuck,sadness
supir bak hilux tolol jalanan lebar bisabisanya ngelindes kaki gue sudah begitu pas kaki saya kelindes bahkan bukannya mundur maju cepat cepat kok bahkan hah hoh hah hoh sakit entot bodoh dipelihara kucing tuh dipelihara,anger
innalilahi wainnailaihi raji un semoga seluruh amal ibadah beliau diterimah dan diridloi allah swt semoga penjeblos ustadz abb diberi hidayah oleh allah swt atau mendapatkan seluruh ganjaran yang setimpal,sadness
ditunggu drama selanjutnya kalau perlu pakai jasa bocah yang masih polos orang lanjut usia fakir miskin plus adegan peluk dan tangisan,sadness
ditangani yang malak terus dia bilang ke bocah nekat yang lain dipukuli the jak tanpa cerita kenapa dia dipukuli bocah nekat yang lain membelanya beramai ramai jadi ribut lalu teman temannya berkabar ke yang lain lagi bilang kalau bocah nekat diserang theja,anger
sudah lagi pusing di chat abang gojek yang mana sudah lupa karena sudah banyak sekali yang jadi driverku terus di chat sama anak seangkatan yang chat nya norak sekali belum tidur sih ingin muntah,anger
meruntuhkan egoku bukan suatu hal yang mudah dengan kasih lembut kamu pecahkan kerasnya hatiku beruntungnya saya dimiliki kamu,love
bagaimana rakyat bisa sejahtera jatengdaruratkorupsi jatengdaruratkorupsi jatengdaruratkorupsi jatengdaruratkorupsi jatengdaruratkorupsi jatengdaruratkorupsi jatengdaruratkorupsi jatengdaruratkorupsi jatengdaruratkorupsi jatengdaruratkorupsi,anger
perkenalan pertama kali sama laruku adalah saat mereka jadi ending song samurai kali langsung jatuh cinta,love
dunia ini memang keras kalau menghadapinya dengan lembek iya tidak perlu hidup,anger
kadang ingin begitu balik lagi jadi anak sd pulang sekolah tidur siang bangun main harvest moon pepsi man sampai memikirkan ina inu,sadness
rencana mau bagi makanan ke para tetangga karena mendekati hari raya oke tradisi ater ater kalau dirumah realita katanya disini tidak ada kebiasaan mirip begitu garing garing berakhir dengan ya sudah kasih ke yang mau saja deh nanti kalau mau buka puasa,sadness
pelajaran berharga dari perang saudara palestina dan israel sesama saudara harus saling mengasihi dan menyayangi bukan saling bunuh berkelanjutan provokator pihak ketigalah yang menang bukan kedua belah pihak yang perang yang meraih kemenangan atas nama tuhan mereka perang,sadness
setiap perempuan cantik dengan caranya sendiri tidak perlu dipuji apalagi merasa tersaingi mulailah dengan mencintai diri sendiri,love
menangis dipundak kamu boleh saya pilu sungguh,sadness
terus topiknya bikin saya emosinal habis sampai mau menangis tapi harus tahan karena di mcd too sweet tapi be true,sadness
wuih cada s teman kantor yang odp hari ini sudah terbebas dari denda ikatan dinas tahunnya mantap kali kita harus menunggu tahun depan,happy
francey agak terkejut saat mendengarmu meneriakinya seolah jiwanya melompat seperti seseorang yang sedang menonton bagian jumpscare dalam sebuah film horror wajah francey berubah ia agak ngeri dengan wanita disebelahnya ini,fear
cob  mana ada teman begini iya allah perkara gadapet bulan saja dicurigain ibu hamil ciken naget mah iya beserta bahagia meal  ,anger
sulit menerima kenyataan memang bahwa ada sebagian yang menganggap ketika kita berinteraksi dengan satu orang dari satu golongan tertentu kita langsung mengatakan golongan tertentu sesaat tanpa kita mempelajari secara utuh dan mengklaim diri kita paling benar,sadness
mau bilang rindu tapi bukan siapa mau blang cemburu juga bukan siapa memang benar yang bukan siapa mana bisa dapat apa,sadness
seram baru buka facebook eh ada notif banyak benar ini cowok ngelike semua nya dari awal saya buat facebook sampai sekarang terus ngechat tidak jelas please leave me alone,fear
mereka adalah orang orang yang berhasil terus buatku gagal mengerjakan kti bagaimana tidak ketik baru dapat satu kata yuk foto dulu yuk dan sialnya saya tergoda,sadness
untungnya sudah menemukan cowok yang sayang sangat sama saya dengan apa adanya saya segala baik bobrokku yang lebih banyak kurangnya begini tidak bisa ngungkapin apa lagi selain bersyukur bersyukur dan bersyukur,happy
ketika lihat anak keputih korban kebakaran lingkungan mereka tidak mendukung adik nya benar benar kayak yang berani sama orang yang lebih tua tidak ada sopan santunnya melihat kondisi seperti itu ada yang bilang anak jaman sekarang memang bandel begitu no teman teman kalau lingkungan mereka baik pasti tidak begitu,sadness
setelah puluhan tahun sekarang naik motor bersama lagi dengan kang endang putra almarhumah saya iyot walau jarang bertemu ikatan kasih sayang itu terus terjaga diantara kita teringat saat kecil,love
dilema sekali anjing mau kentut tapi takut yang keluar gakcuma gas mau berak tapi tidak mules,fear
saya sudah takut sangat ini soalnya rata yang ingin fk di sekolah saya saja rata anak paralel tapi tidak tahu juga iya kalau universitas yang dipengen beda,fear
kamu belum lahir bong tanya sama ibu mu biar jelas pki itu zaman soekarno bong berlanjut ke orba lalu di basmi bisa jadi salahsatunya keluargamu iya,anger
cc kok mingkem hanya dalam minggu bupati pdip kena ott kpk semakin juara korupsi,anger
beda sama saya yang ada tugas sedikit ngeluh malas malesan kuliah ujan sedikit tidak masuk kalau lihat mereka bawaannya ingin menangis bisa iya mereka tinggal di lingkungan yang maaf kumuh bisa sekolah saja sudah senang sekali,sadness
ini orang wajib dipenjarakan wajib dilaporkan ini orang yang memecah belah,anger
oldmoneygakngerasain minum aqua gelas terus gelas plastiknya di selipin ke ban belakang sepeda pancal biar pas jalan keluar bunyi kayak knalpot,happy
saya pikir partai baru ini isinya orang orang yang sepertinya tidak berpendidikan utamanya pendidikan agama buat saudara laki laki sebaiknya tidak perlu meladeni orang orang yang ingin cepat cepat mendapat pop,anger
ceritanya semalam mau bubar eh doi banyak tugas mau jumpa setelah itu eh motor dibawa sepupu dan akhirny a jumpa jam tengah dengan mata merah mukacapek ngantuk si an saya terima kasih kamu,happy
curvanordpersija curvasudpersija rojali asukabeh kalian lemah kalian bukan level kami jak ojok lali keset,anger
pedihnya hatimu karena di dzolimi jadikan itu amplas sakti untuk membentuk diri yang lebih kuat dan tegar membentuk diri lebih bijak dan berbuat lebih banyak kebajikan,sadness
lihat vlive kemarin di memegang hp jae terus hari ini jae memegang hp di seram tidak kalau screennya locked terus mereka bisa buka lock hp satu sama lain pakai fingerprint seram lah,fear
gapaham tiap ditempat umum terus sendirian kayak takut saja tiap ada cowok cowok yang dekati padahal cuma tanya basa basi atau menyapa atau bilang assalamualaikum saya degdegan setengah mati iya allah,fear
heran dengan rkhup berbicara sembarangan sepertinya yang merancang berbicara sembarangan juga deh sampai sampai tidak mempertimbangkan dan melibatkan pihak lain lo lo anggota perancang jangan sesuka hati membuat rkuhp untuk mnguntungkan drimu sendiri heran masih betah saja makan gaji haram begitu,anger
parah kan wonhee kan cantik sekali,love
bahagia birthday tapi us and bahagia tahu anniv wkwkwk sebentar lagi kita putus huhu saya harus cari pacar baru,happy
baru keluar goa iya kamu tidak tahu presiden kamu diancam bunuh dikacung ini sama bicah pula viral video nya tidak mungkin kalau tidak tahu parah kamu,anger
hampir tahun di jogja sekarang lagi packing perasaan kemarin sudah di cicil di bawa pulang tapi tetap masih saja berasa banyak padahal bajunya itu saja,sadness
negara lain memikirkan bagaimana caranya mengembangkan kehidupan di jagat raya yang luas ini orang ini memikirkan yang beginian hanya menghabiskan energi dan tenaga terbuang sia waktu pantas negara ini tidak maju kalau ngeladeni yang kayak begini,anger
kemudian bayangkan ada sesuatu yang berdiri di sana mengamatimu jelas ritual itulah yang membawa makhluk itu ke sini namun saya sama sekali tidak mengerti apa yang terjadi saat itu pikiranku terlalu dipenuhi oleh rasa bingung dan takut,fear
saya coba mendengarkan album nya iya terus jatuh cinta dong sama sealbum identify habis itu saya mulai lah menonton jaman debut ssi nya n h bulan setelah belajar dikit eback just right,happy
iya allah semoga tidak ada lagi manusia super hero di dpr,fear
bertahun binatang ini menjadi hitungan bagi para peminat pembenih ikan alhamdulillah sekarang lewat ternyata ketekunan keuletan mengalahkan segalanya pakan alami hebat budidaya cacing sutra,happy
dari dulu suka gemas sendiri tiap abang main game maafi iya kalau maminya sering ikutan nimbeung iya bang cinta kiddos play games,love
kalau orang tanya dekat enggak sih kamu sama abgmu boro boro dekat kelai terus iya sangking tidak deketnya akur waktu awal kuliah disuruh serumah barang pernah bertengkar yang main fisik,sadness
ujung nya duit maning duit maning memang ada tuh duitnya buat bayar thr saja daerah yang disuruh bayar pakai apbd nya haiy h,anger
selamat jam pulang ngantor selamat bermacet ria pft,sadness
the greatest showman ini film musikal isi filmnya nyanyi dan karena saya pribadi suka sangat genre kayak ini jadi jam menonton tuh tidak kerasa sama sekali rasanya ingin ikutan nyanyi sambil menari,happy
ditinggal my partner mudik fight sendirian terus jadinya tiap malam tapi alhamdulillah ada saja yang bantuin gooks maksi banget brother free kopi dulu ya,happy
selama tahun didlm duniaku oenuh dengan dirinya dan didlm dunianya oun mungkin penuh dengan diriku dunia kami berjalan sangat bahagia bagiku tapi mungkin monoton bagi ibumu saya tahu kadang ada masa saya sangat membosankan baginya dan dia sangat ingin pergi dariku saya tahu tanpa dia harus berkata,sadness
saya hanyalah ciptaan tuhan bukan superhero apalagi malaikat saya hanya bisa melakukan apa yang saya lakukan adik,sadness
karena cinta alasanku tersenyum pagi ini,love
sayang sekali sama mereka sampai kalau lihat mereka mirip di perlakukan tidak adil saja saya sampai menangis wkwkw tidak tahu sih sebenarnya kenapa saya bisa sesayang ini sama mereka mungkin karena lihat dan tahu perjuangan mereka selama ini apa lagi mereka sayang sekali sama ikonic,love
pak wagub saya beda politik dengan anda tapi setelah anda di bully masalah tong sampah jerman saya prihatin coba hubungan mas nanti saya presentasikan tentang penanganan sampah secara integreted dan murah konsepnya sudah saya berikan p pramono anung,sadness
hai selamat pagi menjelang siang semangat jalani hari jangan lupa awali hari dengan dss iya god bless kamu ingin memelukmu kali saja lagi dingin kangen juleha,love
kenapa pasangan seringkali diibaratkan sebagai rumah karena rasa nyaman bersamanya senyaman berada di rumah kamu bisa jadi apa saja kamu selalu pulang menujunya,love
untuk beberapa waktu biarlah kita bekerja sebagai bawahan kelak kita bangun usaha sendiri jadi pengelolanya sendiri jadi bosnya sendiri jadi petani yang selalu bangga dengan usaha sendiri nonelse,happy
ibu gregah lantas saya bangkit dari tempat duduk mematikan saluran wi di dan membayar kopi saya tinggalkan kajen beralih ke masjid sih mbah ronggo kusumo ngemplak kidul yang ada di belakang rumah saya ikut kawan nabuh beduk,happy
potong pepaya leci blueberry bikin overnight oatmeal dan madu seketika saya merasa sehat padahal dimakan saja belum semua hanya fata an  a,sadness
iqra bacalah bacalah walau hanya satu kalimat siapa tahu asik eh bahkan jadi separagraf tahu keasikan sudah satu bab dan akhirnya satu buku,happy
saya takut accord ke suspend kalau begitu lah jangan sampai kayak ini accord pernah ke suspend kalau ke suspend lagi masuk ke kategori suspend permanen,fear
jadi takut saya sering foto anak tapi tidak pakai flash blits kok karena sadar bisa bahaya kalau kena cahaya langsung matanya tapi mama kurang i saja fotonya iya anak,fear
syarat seperti apa yang sebenarnya diminta traveloka apa tidak bisa diberikan informasi lebih detail apakah karena alamat tidak sesuai ktp gaji kurang besar muka kurang tampan dan dengan kalimat kurang beruntung kok kesannya jadi mirip undian,anger
saya mau cerita kalau dia ini bisa akrab juga sama susin yang cuma bulanan saja kerja kayaknya itu sudah akrab banget mirip teman sekolah saja,happy
jilbaber baju natal norak anjing kalian sudah mnyambut di hotel wahai intel setan apep ahmad tardiyana urbane anjing ini saja pola ulah intel busuk kamu ikuti orang kemnpun tae k alat teror bngsat lagi kalian pasang di kamar kerjasama dengan hotel tahi,anger
ini baru pemikiran professor biar masih junior dibandingkan professor cebong anu yang ini lebih bermutu dan punya dedikasi,happy
bangun bangun melihat post an jay kayak begitu belum kerasa sakitnya ini nanti lihat saja pas malam malam saya ngeratapin fotonya sekaligus mau menangis pasti,sadness
kehidupan terindah dan membahagiakan di mana allah membuat kita selalu dalam cinta nya dan di mana masih ada orangtua yang kita cintai selamat hari anak nasional terus berusaha untuk menjadi seorang anak yang dapat membahagiakan orangtua agama bangsa dan negara azure,love
terkadang teman saja tidak cukup kamu juga membutuhkan keluarga di tanah rantau thankyou for being my second family here teman teman cuma di depan kalian saya bisa tertawa puas dan tidak jaga image,happy
tawuran suporter ini ini yang bikin penikmat bola awam macam i takut menonton langsung di stadion,fear
kap ok tidak bakal saya mau ketemu kumpul sama sepupu bangs t anjing penipu korupsi saja belagu sirik dengki anj ng kamu tidak lama lagi mampus kamu lihat saja rumah cicil hasil tipu sampai kapan lihat saja hahaha god never sleep,anger
somplak iya kak hahaha ingin tidak unjukin sama orang kantor yang berusaha yakinkan saya soal flat earth ini  baca alon alon iya mas,anger
memang benar ya orang baik pasti sama yang baik jahat iya sama yang jahat tukang selingkuh iya sama yang tukang selingkuh juga terus nikah sama di selingkuhin jodoh itu cerminan diri makanya perbanyak mengaca,anger
yang menyedihkan lagi ada yang menganggap via vallen itu tidak merasa di lecehkan amat bahkan mau naik pamor demi mencapai keviralan dan itu diungkapkan oleh seorang gue a dan i t a addeh sudah jadi korban sesama wanita pula padahal normalnya harus saling dukung saling empati,sadness
bukan tipe orang semacam apa yang ada di kepala langsung dikeluarin indak teriak teriak di social media indak bukan juga seperti tere liye atau pun mario teguh yang bisa mengeluarkan kata kata bijak indak menginspirasi ketika terpuruk atau pun bahagia but actually pengin teriak teriak juga sih,anger
ketika saya digombali murid saya ibu cantik og bu lalu saya salah tingkah dan eumph jawab kamu juga cantik kok lalu emph dibilang masih muda dan saya makin speechless,happy
tidak perlu jauh jauh mikir besok pemimpinmu siapa mikir nanti sahur makan apa saja dulu kalau masih berharap dapat takjil saur on the road fix tidak perlu sok teriak teriak deh gonta ganti pemimpin tertawa,anger
tiap kali enggak e ketip meminta minum selalu teringat kejadian di thailand sama kami pakai motor sana bentuknya mirip honda new supra dan tidak tahu ini mau diisi bensin macam mana dan berapa duit seliternya jangan kita ngisinya minyak tanah kan berabe iya,fear
jadi sekarang ayah ibu saya tidak kasih thr begitu buat anak dia sedia snack atau coklat kecil bungkusan begitu buat dibagi mirip halloween di amrik begitu lah,happy
kamu apa kabar sayang,love
kurang pengertian bisa mencintai bisa juga membenci namun tidak pernah mau mengenal,sadness
senang sekali dengernya congrats er sidang akan ada yang tunggu wisuda ada yang digandeng yuhoee,happy
kita yang tidak punya apa apa dan tidak seberapa ini disapa sobat misquen asik asik saja bahkan nyala balek damai segampang itu ya hebat uiy,happy
membeli kolak untuk berbuka puasa biasanya habis tapi tadu tida mau dibuang sayang mau dibesokin takut basi teringat kita ibu siapa tahu berkahnya disuapan terkahir akhirnya dengan segenap jiwa raga kuhabiskan kolak tersebut,fear
jika kita mencintai seseorang berusahalah untuk tampil apa adanya karena cinta sejati selalu dapat menerima kelebihan dan kekurangan kita,love
saya sayang mereka iya allah i want them tapi be bahagia ini their entire life pengin mereka sukses dapat jodoh yang baik punya rumah tangga yang langgeng punya anak yang lucu saya selalu doa semoga kita tetap bersamaan sampai sudah gede jadi ibuibu sampai nenek nenek,love
apa bedanya dirimu yang selalu berdiam berlama pergi jauh dan mengabaikan saat permasalahan datang dengan pernyataan ku yang mengakhiri thinkifyouhavebrain,sadness
kost dekat kantor datang paling terlambat terus kalau siang tidur pula selonjoran di sofa teman kantor kayak begini memang perlu dikatai kotoran sih,anger
wajar tidak kalau cowok menangis gara gara tahan kangen soal nya tidak bisa sama sekali untuk ketemu he berlebihan tidak sih tidak dong artinya itu sayang tahan kangen sampai menangis jarang sih saya ketemu yang kayak begitu wkwk,sadness
rokok itu candu bukan berarti tidak bisa berhenti karena nyatanya saya juga bisa berhenti dengan kesadaran penuh tapi sulit akan lebih mudah mencegah sih calon perokok daripada menasihati sih keras kepala yang terlanjur memuja dan menghamba pada sesegera mungkin rokok,anger
jadi ceritanya tadi malam tuh saya dirumah lagi ber saja kan iya sama adek saya lingkungan rumah saya tuh sepi sangat parah seram deh pokoknya nah tadi malam sekitar jam an tbtb sikring lampu saya tuh mirip ada yang nurunin langsung mati semua kan tuh iya,fear
kenapa iya lagi parnoan saya sudah gede masih saja halu halu takut sitin begitu terbayang bayang tadu beraniin ke kemarin mandi dalam keadaan saya lagi halangan sambil bayangkan sih seram ada bunyi saya asli lemas sampai merinding sangat padahal bukan yang aneh aneh dan langsung ngibrit,fear
itu namanya fitnah mbak tidak ada bukti kok fitnah orang lain korupsi ingat mbak dunia ini berlaku sistem tabur tuai mungkin anda menutupi keburukan anda dengan memfitnah orang lain saya tahu semua kok korupsi dan pekerjaan terselubung anda,anger
saya rasa pantas anda dicemooh oleh orang banyak karena kalau anda mau dihargai maka hargai pembalap lain terutama yang sudah jauh lebih senior dari anda,anger
mbak mau bawa barang bapak apa baju bapak tapi nanti tidak bisa dipakai mbak kalau baju iya sarung bapak mau sarung saja iya yang biasa bapak pakai ke masjid biar kalau kangen bisa dipakai ibu ambilkan bu semoga bisa ketemu lagi secepatnya iya ada cinta bapak di senyum ibu,love
bila mungkin sekarang saya merasakan betapa saya semakin mencintaimu itu bukan berarti suka merayu ataupun berlebihan karena tidak bisa ku pungkiri itulah yang sebenar benarnya terjadi saat ini i cinta you sayang,love
gara gara kapan hari ngopi terus mendengarkan lagu lagu jaman dulu jaman sd kayak tangga ello andien audy terus sekarang bikin playlist lagu lagi yang seangkatan,happy
saya pelajari dari akun ig yang kerap memposting foto seronok dari yang wajar sampai yang vulgar dan saya perhatikan seringkali sih pemilik akun cuek dengan banyak nya kata dan kalimat jorok akhirnya muncul justifikasi bahwasanya nglakuin hal semacam itu cat calling di dunia nyata adalah wajar,anger
trend permintaan pasar begitu diriku mau sih jadi influencer yang baik karen suka main game ingin influence orang orang untuk beli game original tapi saya takut bicara depan kamera,fear
saya pun sedang belajar untuk menjadi kuat memang tidak mudah sekali apalagi kedua hal itu halangan amp,sadness
ingin sekali icip icip sedikit soal pasar modal tapi masih belum berani efek ilmunya belum banyak kali iya takut bahkan jatohnya jadi donasi bukan investasi hahaha,fear
hai mbak mulut bau dikantorku ada office boy bahasa inggrisnya mantap banget terus kenapa rupanya yang diperlukan adalah inovasi dan kemampuan bekerja bukan bahasa,anger
sok yeah setelah empat tahun akhirnya kami bareng bareng menerbitkan buku kumpulan cerpen sendiri judulnya tsygmc buku ini diterbitkan oleh dalam format fisik dan e book workshopcerpenkompas,happy
bagimana jika ketika kamu merasa bahwa yang kamu dapatkan sekarang benar benar untukmu kamu mendapati dia yang pernah kamu cinta dalam diam ternyata juga mencintaimu dalam diam,love
iya kamu orangnya egois,anger
aduh pemotor jangan suka ngerumpi di atas fly over daan mogot dong macet tahu,anger
salah sangka yang menghasilkan sebuah kekecewaan kekecewaan yang pada dasarnya tidak mempunyai alasan yang kuat namun saat semua situasi sudah kembali clear itu menjadi sesuatu yang lucu untuk diingat,sadness
wah iya sangat ini mas saya di tempat kerja sering sangat dapat hal tidak ngenakin mereka cowok nganggepnya becandaan yang cewek nganggepnya saya yang salah kenapa begini kenapa begitu,sadness
sekarang saya tiap hari naik krl lanjut bis tj transit dari krl ke bis tj jalan kaki dari halte tj ke kantor juga jalan kaki sepakat pak transportasi umum jalan kaki untuk last mile ride kurang dari kamu,happy
viral kan biar semua tahu bahwa pemerintah indonesia ekonominya memang lebih baik di pimpin oleh djokowie semangat gaeess,happy
menurut cak nun orang yang tidak percaya akhirat logisnya tidak percaya allah secara syari dia kafir tapi cak nun tidak mau bilang mega kafir tapi dia orang yang tidak paham,fear
saya sangat setuju dengan mendukung apapun yang diputuskan pak bupati kutim untuk pemperjelas batas desa kecamatan dan perijinan lokasi perusahaan baik tata peruntukannya demi meningkatkan perekonomian kesehatan supaya tenang dan selalu aman,happy
tapi iya sih dosa kamu banyak sama saya tapi saya tetap cinta kok muahh,love
saya bilang ke bude saya bahwa saya sangat takut lalu diusirlah kucing itu dan di luar rumah sepupu saya sudah siap menggendong sih kucing saya hanya bisa nganga dan membatin yaallah semoga masa depanku tidak harus berhubungan dengan kucing,fear
semoga secangkir toraja bisa menjadi teman penyemangatmu yuk beraktivitas,happy
saya tuh ceritanya tidak pernah pakai skincare soalnya masih takut begitu mau pakenya juga takutnya jadi rusak nah ada saran tidak buat muka mulus tanpa skincare,fear
dari minggu kemarin menyebalkan eh hari ini lagi ada tambahan janjian jam eh lah kok bahkan jek antri nang bri iki piye tapi ku kesal deh,anger
kadamg begitu kalau lagi kerja kelompok bukannya egois pengennya sekelompok sama orang saya tapi yang tahu sifat saya bagaimana belajar saya kayak bagaimana y  berteman saya gaenak borr saya sekelompok sama orang rajin belajar sedangkan saya yang apatuh mah,sadness
baca dm saya scroll message di tanggal juli saya sudah kirim bukti resi untuk pengembalian ongkos kirim tolonh dong sistemnya di perbaiki jangan tanya terus an padahal saya sudah kasih data lengkap,anger
apa saya tidak merepotkanmu sensei tanyanya khawatir hifumi pun mengambil sandal lalu memakainya masih sedikit kebesaran tapi tidak apa toh hanya sandal rumah,fear
lagi main di rumah teman tuh pas pipis lihat celana dalam sudah merah begitu langsung izin pulang bilangnya mendadak sakit pas sampai rumah bilang itu kakak berdarah mah takut soalnya memang pas main jatuh pas dilihat dibilang mens hue besoknya pe,fear
kasihan itu tidak ada urusan dengan saya salah tidak perlu dibela nah imam besar mesum kok dibela takut tidak masuk surga rizik saja belum tentu masuk surga pakai disembah kaum sialan termasuk kamu bukan,anger
terakhir saya sayang koko sayang koko kemarin sayang koko hari ini sayang koko jam yang lalu sayang koko besok sayang koko besok lusa sayang koko selamanya,love
iya sih cuma takut suara dia jadi rusak berubah begitu karena salah teknik,fear
kenapa iya selalu saja obat yang urgent di hapus bpjs ada penggantinyakah kalo ada sih enggak apa apa jangan kira alasan rugi terus abat yang diperlukan dihapus,anger
sebenarnya orang itu yang katanya profesor tidak bisa jawab jadi belagak congkak sok melempar jawaban ke yang lain untuk jawab,anger
lha  kok begitu mau dapat duitnya tapi tidak mengerjakan kerjanya orang lama pc situ kah tidak enak ketua pc nya mentang kamu baru dibegitukan iya sabar ra senyumi saja,anger
akhirnya dapat juga reno tapi hrganya ya begitu deh soalnya sudah kepepet sangat sudah jauh juga ke mi store beksi tapi bodoh,love
beli kaos banyak dengan ukuran yang sudah downgrade kucariin kok tidak ada ternyata masuk ke lemari bapak mbak art ku kayaknya tidak notice saya sudah kurusan,sadness
hore hihi moment sekali ye capai sih tapi menyenangkan,happy
warisan untuk anak jadi ingat yang mempergunakan jabatan untuk antar jemput dan akomodasi anak di luar negeri itu warisan yang baik untuk anak,anger
agak terlambat ramai nya iya dok alhamdulillah sudah paham sejak lama sekali jadi geli saja baru pada ramai sekarang hehehe,happy
sebagai anggota komite medik di rs tempat saya bekerja kami kadang membicarakan death case di rapat komite medik membicarakan pasien yang meninggal dalam perawatan di rs bagaimanapun tidak pernah menyenangkan wlopun bukan pasien sendiri pun,sadness
jangan membuat bumi ini menangis dengan keegoisan kita mengeksplorasi segala kekayaan alam yang dimiliki dengan serakah dan tidak bertanggung jawab selamat hari lingkungan hidup sedunia,sadness
tidak sepakat dan anda menyesatkan orang lain tidak disemua tempat kita boleh melaksanakan sholat salah satunya di bangunan yang didirikan untuk kekafiran salah satunya gereja saya berlindung kepada allaah swt dari godaan setan yang terkutuk,anger
saya ke lampung ki whee nadia sudah mau sidang ajee selamaad ya apa kabar kakak satria udahan belum,happy
sejujurnya masih sesedih itu tidak bisa nurutin ambisi yang selama ini dipengenin tapi memang harus belajar ikhlas ridho benar benar menyerahkan semuanya ke tuhan harus legowo,sadness
tidak terasa sudah seminggu yang lalu berjumpa sejak pertemuan pertama kita saya semakin cinta terhadap masing masing member kini saya selalu terbayang bayang dengan kehadiran sosok kalian setiap mendengar lagu kalian,love
sekarang kalau lihat yang lagi kasmaran bicara soal cinta saya cuma bisa menyengir dalam hati belum tahu rassanya kalau sudah punya baby xd bisa berjuta kali lipa        t merasakan cinta dari yang anda rasakan saat ini di,love
saya mulai takut menghadapi hari seperti disiksa mendadak saya takut dia tidak kembali,fear
intinyanya selamat tanggal untuk yang ke kali tidak pernah harapin yang aneh aneh saya cuma mau terus sama kamu sayangnya kamu ke saya tidak pernah berubah begitu juga sayangnya saya ke kamu berharap bahkan bisa lebih lebih sayang lagi ke kamu seiring berjalannya waktu,love
